id,position,city,company,salary,experience,education,industry,skills,benefits
839,Python测试开发工程师,贵阳,世纪恒通科技股份有限公司,6000-10000元,1-3年,本科,咨询服务,Python,"五险一金, 周末双休, 带薪假期, 通讯补贴, 团建旅游, 交通补贴, 餐饮补贴"
840,Python工程师,南京,软通动力信息技术(集团)股份有限公司,1.1-2万,1-3年,本科,互联网,Python,
841,python软件工程师,北京,北京方胜有成科技股份有限公司,1.2-1.8万,3-5年,本科,互联网,"Shell, PYTHON  JAVA, POSTMAN, Jmeter, Selenium",
842,Python后端开发,西安,武汉佰钧成技术有限责任公司,1.2-1.3万,3-5年,大专,计算机软件,"Python, MySQL, Oracle, linux, WEB类",
843,Python开发工程师,成都,软通动力信息技术(集团)股份有限公司,8000-16000元,1-3年,本科,互联网,"PyCharm, PYTHON开发, Flask","单位体检, 五险一金, 绩效奖金, 周末双休, 团建福利, 带薪假期, 节日福利, 项目奖金"
844,python(全额公积金+双休),深圳,德科信息有限公司,1.3-1.7万,3-5年,本科,IT服务,"Java, Sql, MySQL, Flask","团建福利, 节日福利, 零食/下午茶, 周末双休, 住房公积金, 交通补贴, 六险一金"
845,Python开发工程师,上海,上海华克斯实业股份有限公司,1-1.5万·13薪,1-3年,本科,零售/批发,"MySQL, Redis, SQL Server, Pyspider, Java, Linux, 多进程, 多线程","五险一金, 绩效奖金, 带薪假期, 餐饮补贴, 全勤奖金"
846,python后端开发工程师,杭州,软通动力信息技术(集团)股份有限公司,1-1.6万,1-3年,本科,互联网,"Python, 后端开发",
847,python后端开发工程师,天津,天津蔓成科技有限公司,1-1.8万,1-3年,本科,矿产/采掘,"Oracle, MySQL, Sql, 后端",
848,Python硬件开发,上海,中软国际,面议,1-3年,本科,计算机软件,Python,"团建福利, 节日福利, 五险一金, 周末双休, 年终奖金, 五险"
849,Python开发工程师,杭州,软通动力信息技术(集团)股份有限公司,1.1-1.6万,1-3年,本科,互联网,"Python, Linux, Shell, Django, Flask, MySQL","五险一金, 免费班车"
850,高级python开发工程师（上海北京深圳大连均可）,大连,大连思泰克科技有限公司,2-3万,10年以上,本科,计算机硬件,"Django, Flask, Python, 架构设计经验",
851,python开发/持续集成,上海,中软国际,面议,经验不限,本科,计算机软件,"Python, 图像算法",
852,python,深圳,软通动力信息技术(集团)股份有限公司,1.1-1.8万,1-3年,本科,互联网,"Django, Python, PYTHON开发, PYTHON工程师",
853,python高级工程师,哈尔滨,哈尔滨坐标软件开发有限公司,1-1.8万,3-5年,大专,计算机软件,"Sql, C++, SQLServer",
854,Python开发（T）,西安,中软国际,面议,1-3年,本科,计算机软件,"Shell, Python, Django, C++",
855,Python开发工程师,长沙,海龙国际,1.5-3万,5-10年,大专,互联网,"FASTAPI, PostgreSQL, MySQL",
856,python开发/测试开发,南京,软通动力信息技术(集团)股份有限公司,1.2-1.9万,3-5年,本科,互联网,"Java, Django, MySQL",
857,python后端开发工程师,西安,中软国际,面议,3-5年,本科,计算机软件,"Django, MongoDB, Python, PyQt",
858,python开发工程师,西安,京北方,1.3-1.8万·13薪,5-10年,本科,IT服务,"Linux, Shell, MySQL",
859,python,深圳,软通动力信息技术(集团)股份有限公司,1.3-1.6万,3-5年,本科,互联网,"Flask, Python",
860,python后端开发工程师,北京,北京壹玖捌捌电力科技发展有限公司,1.4-1.9万,3-5年,本科,IT服务,"Java, Python",
861,python后端开发工程师,福州,上海微创软件股份有限公司,8000-10000元,3-5年,本科,IT服务,"Django, Flask, MySQL, Redis, Linux",
862,python开发工程师,北京,京北方,1.4-2.1万,3-5年,本科,IT服务,"Python并发框架, 达梦数据库",
863,Python+AI开发工程师,杭州,浙江金瑞税务师事务所有限公司,1.5-2.5万,3-5年,本科,咨询服务,"Golang, NLP, MySQL, Python",
864,python开发,深圳,软通动力信息技术(集团)股份有限公司,1-1.3万,1-3年,本科,互联网,"Java, Python",
865,onsite经纬恒润-Python开发工程师,北京,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,1.4-2万,3-5年,本科,运营商/增值服务,Python,
866,中高级Python研发工程师(J10904),西安,丰石科技,1.3-2万,3-5年,本科,互联网,"Python, PMP",
867,python开发,长沙,软通动力信息技术(集团)股份有限公司,1.2-1.3万,3-5年,本科,互联网,"后端开发, Python web框架, Python并发框架",
868,python开发工程师,重庆,重庆合力美传健康科技有限公司,1-1.5万,3-5年,本科,电子商务,,奖金加提成
869,python高级开发工程师,杭州,杭州海崖科技有限公司,1.5-2万·13薪,3-5年,本科,互联网,"PHP, Java, Python, Django, Flask, Tornado, MySQL, SQLServer",
870,python后端开发工程师,深圳,深圳市紫川软件有限公司,1.3-1.5万,3-5年,本科,计算机软件,"Django, Python, Flask, Pandas, NumPy, Scipy",
871,Python 应用工程师,天津,中煤科工集团智能矿山有限公司,1.2-1.5万·14薪,3-5年,本科,云计算/大数据,Python,
872,Python工具开发,北京,软通动力信息技术(集团)股份有限公司,1.5-2万,1-3年,本科,互联网,,
873,Python开发工程师,深圳,深圳思特顺科技有限公司,1.2-2万,3-5年,本科,计算机软件,"C++, Python",
874,python开发工程师,厦门,厦门诺言宽客投资有限公司,1.2-1.6万,1-3年,本科,IT服务,"Django, MySQL, MongoDB, Redis",周末双休
875,python开发,武汉,软通动力信息技术(集团)股份有限公司,8000-15000元,1-3年,本科,互联网,"Java, Django, MySQL",
876,对日Python开发工程师,大连,微联数智(大连)信息技术有限公司,2-4万,5-10年,大专,计算机软件,日语流利,
877,Python开发工程师,南京,南京星邺汇捷网络科技有限公司,1-1.8万,3-5年,本科,计算机软件,"SQL, Linux, Python, Shell, 数据收集、清洗、处理",
878,python开发,武汉,软通动力信息技术(集团)股份有限公司,8000-13000元,3-5年,本科,互联网,Python,
879,Python高级工程师（跨境电商）,深圳,深圳市美龄美科技有限公司,1.5-2.5万,3-5年,本科,贸易/进出口,网络爬虫技术,
880,Python开发工程师,合肥,本源量子计算科技(合肥)股份有限公司,1.2-2万,1-3年,本科,计算机软件,Python,
881,Python开发工程师,上海,软通动力信息技术(集团)股份有限公司,1.2-1.8万,3-5年,本科,互联网,Python,
882,python后端开发工程师,济南,山东睿创未来技术有限公司,1-1.5万,1-3年,本科,计算机软件,,
