id,position,city,company,salary,experience,education,industry,skills,benefits
772,Python开发,上海,软通动力信息技术(集团)股份有限公司,1.1-1.6万,1-3年,本科,互联网,"Sql, Shell, MySQL, Oracle, NoSQL",
773,python,上海,上海比孚信息科技有限公司,1.5-3万,3-5年,本科,计算机软件,数学竞赛,
774,python开发,济南,智洋创新科技股份有限公司,8000-15000元,3-5年,本科,人工智能,C++,
775,Python工程师,西安,陕西壹祖源再生医学有限公司,9000-15000元,1-3年,本科,医美/健康服务,,
776,Python开发工程师,上海,中软国际,面议,1-3年,本科,计算机软件,,
777,python后端开发工程师,上海,软通动力信息技术(集团)股份有限公司,1.1-1.6万,3-5年,本科,互联网,"Flask, Django, MySQL, Python",
778,Python开发工程师,长沙,湖南省湘辉人力资源服务有限公司,1.2-1.6万,3-5年,硕士,人力资源服务,"Django, Flask, Tornado, PostgreSQL, Oracle",
779,python后端开发工程师,苏州,中软国际,面议,1-3年,本科,计算机软件,Django,"五险一金, 周末双休, 节日福利"
780,python后端开发工程师,东莞,软通动力信息技术(集团)股份有限公司,1.1-1.6万,1-3年,本科,互联网,"Python, Flask, MySQL",
781,python工程师/算法工程师,郑州,河南智慧水务股份有限公司,8000-12000元,1-3年,学历不限,工程技术与设计服务,Python,
782,python开发工程师-福州（WL）,福州,厦门至恒融兴信息技术股份有限公司福州分公司,1-1.6万,5-10年,本科,计算机软件,"Python, Java, MySQL, PostgreSQL, Flask, AI",
783,中高级python开发工程师-双休/线上面,佛山,广东美的制冷设备有限公司,面议,5-10年,大专,电子设备制造,"Python, Flask, Oracle, Redis, GUNICORN",周末双休
784,Python开发工程师,西安,软通动力信息技术(集团)股份有限公司,8000-15000元,1-3年,本科,互联网,"Python, 手机",
785,Python开发工程师,上海,西信科技有限公司,1.5-2.5万,经验不限,本科,IT服务,"JavaScript, react","五险一金, 周末双休"
786,Python开发（AI算法交易系统）,广州,德科信息有限公司,1.5-1.7万,3-5年,本科,IT服务,"Java, C++, Django, Flask, Oracle, MySQL",
787,python后端开发工程师,青岛,青岛地球软件技术有限公司,6000-10000元,1-3年,本科,计算机软件,Python,
788,python高级开发工程师,南京,武汉佰钧成技术有限责任公司,1.8-2.5万,3-5年,大专,计算机软件,"MySQL, Python, PYTHON WEB, Redis, MQ",
789,python自动化工程师,上海,上海天籍信息科技有限公司,6000-12000元,1-3年,本科,互联网,Python,"单位体检, 五险一金, 绩效奖金, 周末双休, 带薪假期, 团建旅游, 节日福利"
790,python后端开发工程师,深圳,拓保软件,1.3-1.6万,3-5年,本科,计算机软件,"Flask, Django",
791,Python工程师(J10563),上海,立信会计师事务所（特殊普通合伙）,1.3-1.7万,1-3年,本科,咨询服务,"Flask, Django, MySQL",
792,python后端开发工程师,深圳,慕晨国际电子商务有限公司深圳龙华分公司,1.5-2.5万,3-5年,本科,电子商务,"Django, C++",
793,python测试开发讲师,北京,北京橙好测开科技有限公司,1.2-1.8万·13薪,5-10年,本科,在线教育,"Django, Tornado, Flask, Windows, Linux, Python",
794,Python工程师,深圳,深圳市紫川软件有限公司,1.4-2万,3-5年,本科,计算机软件,"Django, MySQL, PostgreSQL, MongoDB, 大数据, CLICKHOUSE",
795,Python开发,西安,中软国际,面议,1-3年,本科,计算机软件,"WEB, Python",
796,Python开发工程师,廊坊,志晟信息,1.3-2.5万,5-10年,本科,IT服务,"MySQL, PostgreSQL, NoSQL, Sql",
797,python开发工程师,广州,绛门科技,1.1-1.7万,3-5年,本科,计算机软件,"Python, Django, NumPy, MySQL, TensorFlow",
798,Python全栈开发,上海,上海飞旗网络技术股份有限公司,1.5-2.5万·13薪,1-3年,本科,互联网,"数据爬虫, Python","五险一金, 绩效奖金, 通讯补贴, 交通补贴"
799,python开发工程师,杭州,杭州慧简医疗科技有限公司,1-1.8万·13薪,1-3年,本科,计算机软件,"后端开发, Python, 架构设计, 神经网络, Django, Tornado, SQL","五险一金, 绩效奖金, 通讯补贴, 交通补贴, 餐饮补贴, 住房补贴, 加班补贴"
800,python,福州,上海微创软件股份有限公司,7000-11000元,3-5年,本科,IT服务,Python,
801,python开发工程师,杭州,软通动力信息技术(集团)股份有限公司,1-1.6万,1-3年,本科,互联网,,
802,Python+spark,广州,中电金信软件有限公司,1.9-2.3万,5-10年,本科,计算机软件,"Python, Spark",
803,python后端开发工程师,深圳,维谛技术服务(深圳)有限公司,8000-12000元,1-3年,本科,运营商/增值服务,"MySQL, Python",
804,python架构师,西安,山东恒远智能科技有限公司,1.4-2.3万,5-10年,本科,IT服务,Python,
805,开发工程师（Python）,北京,国新健康保障服务集团股份有限公司北京分公司,1.3-2万·16薪,3-5年,本科,卫生服务,Python,
806,python后端开发工程师,厦门,厦门诺言宽客投资有限公司,1-1.5万,1-3年,本科,IT服务,"Django, FASTAPI, MySQL, Oracle, Java, C++",周末双休
807,Python开发工程师,杭州,软通动力信息技术(集团)股份有限公司,1-2万,3-5年,本科,互联网,"Python, 后端开发, FLASK, DJANGO","单位体检, 五险一金, 绩效奖金, 带薪假期, 商业医疗险"
808,Python后端开发工程师,上海,博彦科技,1.6-1.8万,5-10年,本科,IT服务,MySQL,
809,Python工程师（要用过Odoo）,济南,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,1-1.5万,3-5年,本科,运营商/增值服务,"关务系统, Odoo",
810,python开发（线上面试）,东莞,软通动力信息技术(集团)股份有限公司,1.1-1.5万,1-3年,本科,互联网,Python,
811,C++/Python开发测试工程师r,北京,中国人民解放军32806部队,1.3-2.5万,经验不限,本科,政府/公共事业,C++,
812,python后端开发工程师,北京,河南龙翼信息技术有限公司,1.8-2万,5-10年,本科,IT服务,,
813,python开发,东莞,软通动力信息技术(集团)股份有限公司,1-2万,3-5年,本科,互联网,Python,
814,python后端开发工程师,济南,浪潮集团,1.2-2万,3-5年,本科,IT服务,,
815,Python开发实习生（26年及之后毕业）,北京,英视睿达,150-200元/天,无经验,本科,IT服务,"Django, Tornado, Flask, Python",
816,python开发工程师,武汉,软通动力信息技术(集团)股份有限公司,1-1.5万,1-3年,本科,互联网,"Shell, Redis, NoSQL, Sql, PyQt","住房补贴, 五险一金, 绩效奖金, 包住, 包吃, 十三薪, 加班补贴"
817,python开发（光大理财+稳定）,青岛,深圳市睿服科技有限公司,1-1.6万,3-5年,本科,IT服务,"Shell, Sql, Python, ETL",
818,python算法开发工程师,深圳,武汉佰钧成技术有限责任公司,1.5-1.7万,1-3年,本科,计算机软件,"Django, Flask, MySQL, TensorFlow, Transformer, LSTM, 大模型",
819,中高级python开发,苏州,软通动力信息技术(集团)股份有限公司,1.4-1.7万,3-5年,本科,互联网,,
820,Python开发工程师,武汉,武汉朱雀闻天科技有限公司,1-1.6万·14薪,1-3年,本科,云计算/大数据,"Python, SQL, Linux, Django, 后端开发","五险, 五险一金, 股票期权, 周末双休, 带薪假期"
821,Python开发工程师,西安,中软国际,面议,1-3年,本科,计算机软件,"Python, 后端开发, Flask, Django, Linux, MySQL","五险一金, 绩效奖金, 周末双休, 加班补贴"
822,python后端开发工程师,南京,软通动力信息技术(集团)股份有限公司,1-2万,1-3年,本科,互联网,"Python, Oracle",
823,技术支持Python/C/C++,广州,北京耐思云科技有限公司,1-1.8万·14薪,3-5年,本科,云计算/大数据,"C, C++, linux, Python",
824,python开发工程师,深圳,竞业达,1.5-2.5万,3-5年,本科,计算机硬件,"C, 机器学习, 图像处理, 多线程",
825,python后端开发工程师,南京,软通动力信息技术(集团)股份有限公司,1.2-2万,1-3年,本科,互联网,TRANSFORMERS,
826,python（华为外包）,东莞,北京金道天成信息系统服务有限公司,1.2-1.7万,3-5年,本科,计算机硬件,Python,
827,ERP开发工程师（双休+Python）,成都,洛基精微(成都)工业技术有限公司,8000-15000元,1-3年,本科,机器人,"Python, Django, ERP系统开发经验, Odoo",周末双休
828,python后端开发工程师,东莞,软通动力信息技术(集团)股份有限公司,1.2-2.4万,3-5年,本科,互联网,"Java, MySQL",
829,python高级研发工程师,济南,山东融科数据服务有限公司,8000-11000元,3-5年,本科,IT服务,"Linux, Windows, Python, 中级软件工程师, 高级软件工程师","五险一金, 绩效奖金, 带薪假期, 通讯补贴, 交通补贴, 餐饮补贴, 全勤奖金"
830,python后端开发工程师,上海,润和软件,1.2-1.8万,1-3年,本科,计算机软件,"C++, Shell, Django, CICD, Jenkins",
831,杭州python开发,杭州,软通动力信息技术(集团)股份有限公司,8000-16000元,1-3年,本科,互联网,Python,
832,python开发,青岛,诚迈科技,1.2-1.6万,3-5年,本科,运营商/增值服务,"Django, Java, Python, MySQL, Redis, PYTHON WEB",
833,web后端(python),北京,正则量子(北京)技术有限公司,1.6-2.6万,3-5年,本科,计算机硬件,,
834,python开发,成都,软通动力信息技术(集团)股份有限公司,9000-16000元,3-5年,本科,互联网,Python,
835,python软件工程师(初级),西安,西安绿创电子科技有限公司,6000-10000元,1-3年,本科,计算机软件,"Python, Pillow, Flask, MySQL, PostgreSQL, Redis","单位体检, 五险一金, 年终奖金, 加班补贴, 节日福利"
836,python工程师,长沙,长沙麦都网络科技有限公司,1-1.5万,3-5年,本科,互联网,"Python爬虫框架, 后端开发",
837,Python开发,杭州,软通动力信息技术(集团)股份有限公司,1.1-1.8万,1-3年,本科,互联网,Python,
838,中级Python开发工程师,上海,北京瑞友科技股份有限公司,1.6-2万·13薪,3-5年,本科,互联网,"Python, 后端开发","单位体检, 年终奖金, 五险一金, 周末双休, 节日福利, 带薪假期"
